Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
Tzara,"Thornbridge Brewery",Kölsch,4.8,0,"Not my favourite Thornbridge beer, but definitely interesting",,,,,,4,"2013-04-27 21:06:21",https://untappd.com/c/28779726,https://untappd.com/beer/108038,https://untappd.com/brewery/2047,England
"Hop Bomb","Sadler's Ales","English IPA",5,0,"It's hoppy (yay), but I don't think the base is malty enough to carry the hop flavour",,,,,,3,"2013-04-30 22:33:14",https://untappd.com/c/29073018,https://untappd.com/beer/69299,https://untappd.com/brewery/9956,England
Stout,"Sierra Nevada Brewing Co.","American Stout",5.8,50,,,,,,,4,"2013-05-01 20:42:10",https://untappd.com/c/29137751,https://untappd.com/beer/6201,https://untappd.com/brewery/1142,"United States"
"Anchor Steam Beer","Anchor Brewing Company","California Common",4.9,0,,,,,,,3.5,"2013-05-03 21:14:46",https://untappd.com/c/29302732,https://untappd.com/beer/6204,https://untappd.com/brewery/3891,"United States"
Cappuccino,"Titanic Brewery",Stout,4.5,0,,,,,,,3.5,"2013-05-03 22:42:27",https://untappd.com/c/29312303,https://untappd.com/beer/97565,https://untappd.com/brewery/1709,England
"Morland Old Speckled Hen","Greene King","English Pale Ale",5.2,0,"Trying to drink it with an open mind, but still that unpleasant Greene King aftertaste",,,,,,2.5,"2013-05-04 16:40:04",https://untappd.com/c/29417947,https://untappd.com/beer/3121,https://untappd.com/brewery/612,England
"Racer 5 IPA®","Bear Republic Brewing Co.","American IPA",7.5,75,"That's better",Byron,Cambridge,Cambridgeshire,52.2081,0.11894,4,"2013-05-04 17:52:57",https://untappd.com/c/29423015,https://untappd.com/beer/1553,https://untappd.com/brewery/94,"United States"
"JHB (Jeffrey Hudson Bitter)","Oakham Ales","Golden Ale",3.8,0,,"Kingston Arms Freehouse",Cambridge,Cambridgeshire,52.2003,0.139761,4,"2013-05-04 19:47:01",https://untappd.com/c/29437705,https://untappd.com/beer/53755,https://untappd.com/brewery/931,England
"Ramble Tamble","Triple fff Brewery","American IPA",5,55,,,,,,,3.5,"2013-05-04 20:52:48",https://untappd.com/c/29448874,https://untappd.com/beer/40573,https://untappd.com/brewery/3129,England
Pounamu,"Lymestone Brewery","New Zealand Pale Ale",4.2,0,,,,,,,4,"2013-05-04 21:26:23",https://untappd.com/c/29455041,https://untappd.com/beer/339950,https://untappd.com/brewery/4059,England
"Enville Ale","Enville Brewery","English Bitter",4.5,0,"Sweet, easy drinking","Hollybush at Trysull",,,52.5608,-2.21742,3.5,"2013-05-05 14:44:20",https://untappd.com/c/29576387,https://untappd.com/beer/76014,https://untappd.com/brewery/11503,England
"Belgian White","Blue Moon Brewing Company",Witbier,5.4,9,"Blue mehoon more like.",,,,,,3,"2013-05-05 21:50:37",https://untappd.com/c/29617239,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States"
"Oatmeal Stout","Samuel Smith Old Brewery","Oatmeal Stout",5,0,,,,,,,4,"2013-05-05 22:08:19",https://untappd.com/c/29620118,https://untappd.com/beer/8,https://untappd.com/brewery/1099,England
"India Pale Ale Citra","The Kernel Brewery","American IPA",6.6,0,Genius.,,,,,,5,"2013-05-07 17:12:19",https://untappd.com/c/29754075,https://untappd.com/beer/49489,https://untappd.com/brewery/3376,England
"Black Rocks","Buxton Brewery","Black IPA / Cascadian Dark Ale",6,0,,,,,,,4.5,"2013-05-07 21:06:38",https://untappd.com/c/29760960,https://untappd.com/beer/65446,https://untappd.com/brewery/3461,England
"Double Citra IPA","The Kernel Brewery","Imperial / Double IPA",9.8,0,"JUST HOOK IT TO MY VEEEEEIIIIINS!!!!",,,,,,5,"2013-05-10 22:04:54",https://untappd.com/c/29997847,https://untappd.com/beer/124405,https://untappd.com/brewery/3376,England
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,"Mega hoppy lager. Can't argue really.",,,,,,4,"2013-05-11 20:13:59",https://untappd.com/c/30134632,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2013-05-11 21:11:03",https://untappd.com/c/30145156,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
Gem,"Bath Ales","English Bitter",4.1,0,"From one amber ale to another",,,,,,4,"2013-05-11 21:38:41",https://untappd.com/c/30150550,https://untappd.com/beer/6248,https://untappd.com/brewery/1464,England
"Porter 7 Grain","Partizan Brewing","English Porter",5.7,0,"Sweet, with a touch of smokiness. Me likey",,,,,,4,"2013-05-15 17:08:37",https://untappd.com/c/30506457,https://untappd.com/beer/323349,https://untappd.com/brewery/48584,England
"India Pale Ale Citra","The Kernel Brewery","American IPA",6.6,0,,,,,,,5,"2013-05-16 20:41:04",https://untappd.com/c/30596779,https://untappd.com/beer/49489,https://untappd.com/brewery/3376,England
"Tesco Simply IPA","Marston's Beer Co","Imperial Pale Ale",5,0,"Brewed by Marston's. Reminds me of Old Empire.",,,,,,4,"2013-05-16 21:32:52",https://untappd.com/c/30599782,https://untappd.com/beer/180517,https://untappd.com/brewery/1517,England
Simcoe,"Fernandes Brewery","American Pale Ale",0,0,,,,,,,3.5,"2013-05-17 21:33:20",https://untappd.com/c/30714725,https://untappd.com/beer/190191,https://untappd.com/brewery/6887,England
"Stone Pale Ale","Stone Brewing Co.","American Pale Ale",5.4,0,,,,,,,3.5,"2013-05-17 23:18:31",https://untappd.com/c/30728882,https://untappd.com/beer/1258,https://untappd.com/brewery/1204,"United States"
"Bishops Farewell","Oakham Ales","Golden Ale",4.6,0,"Oakham never fail",,,,,,5,"2013-05-18 20:13:23",https://untappd.com/c/30855154,https://untappd.com/beer/42688,https://untappd.com/brewery/931,England
"Celebration Ale (2012)","Sierra Nevada Brewing Co.","American IPA",6.8,0,"Fresh, grassy, but a strong, malty base",,,,,,3.5,"2013-05-18 20:54:21",https://untappd.com/c/30863926,https://untappd.com/beer/226743,https://untappd.com/brewery/1142,"United States"
"Punk Monk",BrewDog,"American IPA",6,45,"Amazing what yeast does to a beer",,,,,,4,"2013-05-21 21:48:19",https://untappd.com/c/31185407,https://untappd.com/beer/123483,https://untappd.com/brewery/241,Scotland
"Smack My Brewed Up!",Mikkeller,"American Pale Ale",4.9,0,"Not a fan. The same sort of marmitey yeast aftertaste that Brooklyn Lager has, but none of the redeeming features.",,,,,,2.5,"2013-05-21 22:15:14",https://untappd.com/c/31186765,https://untappd.com/beer/331292,https://untappd.com/brewery/2813,Denmark
"Original Oak Aged Beer","Innis & Gunn","Scottish Export Ale",6.6,18,,,,,,,3.5,"2013-05-21 22:34:53",https://untappd.com/c/31187956,https://untappd.com/beer/24675,https://untappd.com/brewery/1673,Scotland
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"Oh yes",,,,,,5,"2013-05-24 20:37:53",https://untappd.com/c/31436598,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Combined Harvest",Batemans,"English Pale Ale",4.7,0,"It should be nicer, but the finish is somewhat lacking",,,,,,3,"2013-05-25 20:46:03",https://untappd.com/c/31597642,https://untappd.com/beer/31035,https://untappd.com/brewery/8151,England
"SA Gold",Brains,"Golden Ale",4.3,0,"Tasty little number",,,,,,3.5,"2013-05-25 21:17:17",https://untappd.com/c/31603930,https://untappd.com/beer/21192,https://untappd.com/brewery/3779,Wales
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,"Reminds me of Mostly Jazz :)",,,,,,3.5,"2013-05-27 16:13:14",https://untappd.com/c/31885778,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Tribute Cornish Pale Ale","St Austell Brewery","English Pale Ale",4.2,0,"Always got a soft spot for this beer","The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,3,"2013-05-27 16:41:10",https://untappd.com/c/31886715,https://untappd.com/beer/5512,https://untappd.com/brewery/1186,England
"Twin Peaks","Thornbridge Brewery","English Pale Ale",5,0,"It's Thornbridge Jim, but not as we know it.",,,,,,4.5,"2013-05-30 20:55:15",https://untappd.com/c/32140406,https://untappd.com/beer/321090,https://untappd.com/brewery/2047,England
"Honker's Ale","Goose Island Beer Co.","English Bitter",4.3,4,,,,,,,3,"2013-05-30 22:12:20",https://untappd.com/c/32145360,https://untappd.com/beer/6469,https://untappd.com/brewery/2898,"United States"
"Meine Hopfenweisse / Schneider-Brooklyner (TAP5)","Weisses Bräuhaus G. Schneider & Sohn",Weizenbock,8.2,40,"Wow. Hops + Weisse. It's everything I hoped for and more!","The Euston Tap",London,"Greater London",51.527,-0.13248,4.5,"2013-05-31 16:28:27",https://untappd.com/c/32220716,https://untappd.com/beer/11027,https://untappd.com/brewery/1023,Germany
"Sainsbury’s Scottish Craft Brewed Lager","Harviestoun Brewery","Golden Lager",4.1,0,,,,,,,3,"2013-05-31 22:22:33",https://untappd.com/c/32247004,https://untappd.com/beer/82727,https://untappd.com/brewery/638,Scotland
"Sainsbury’s Scottish Craft Brewed Lager","Harviestoun Brewery","Golden Lager",4.1,0,,,,,,,3,"2013-05-31 22:31:24",https://untappd.com/c/32248260,https://untappd.com/beer/82727,https://untappd.com/brewery/638,Scotland
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2013-05-31 22:32:05",https://untappd.com/c/32248354,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-05-31 23:01:26",https://untappd.com/c/32252863,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-06-01 16:40:49",https://untappd.com/c/32373955,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Madness IPA","The Wild Beer Co","American IPA",6.8,0,,,,,,,4.5,"2013-06-01 16:44:50",https://untappd.com/c/32374196,https://untappd.com/beer/281689,https://untappd.com/brewery/41559,England
"Magic 8 Ball","Magic Rock Brewing","Black IPA / Cascadian Dark Ale",7,0,"I just can't place this beer. My tasebuds are boggled. But in a good way.",,,,,,4.5,"2013-06-01 21:04:06",https://untappd.com/c/32413423,https://untappd.com/beer/121293,https://untappd.com/brewery/13156,England
"Libertine Black Ale",BrewDog,"Black IPA / Cascadian Dark Ale",7.2,65,"More black IPA action",,,,,,4.5,"2013-06-01 21:59:59",https://untappd.com/c/32425847,https://untappd.com/beer/158573,https://untappd.com/brewery/241,Scotland
"Raging Bitch Belgian IPA","Flying Dog Brewery","Belgian IPA",8.3,150,"Nicer than Punk Monk. The flavours are a bit more balanced.",,,,,,4,"2013-06-02 21:07:42",https://untappd.com/c/32586725,https://untappd.com/beer/5756,https://untappd.com/brewery/540,"United States"
"Madness IPA","The Wild Beer Co","American IPA",6.8,0,,,,,,,4.5,"2013-06-06 18:28:07",https://untappd.com/c/32891769,https://untappd.com/beer/281689,https://untappd.com/brewery/41559,England
"India Pale Ale Stella","The Kernel Brewery","American IPA",6.7,0,,,,,,,4,"2013-06-07 17:46:51",https://untappd.com/c/32986441,https://untappd.com/beer/96584,https://untappd.com/brewery/3376,England
"Southwold Bitter",Adnams,"English Bitter",4.1,33,"Lots of talk of Ghost Ship on the twitters, couldn't find it locally, but this'll do",,,,,,3.5,"2013-06-07 21:28:03",https://untappd.com/c/33002645,https://untappd.com/beer/89431,https://untappd.com/brewery/11,England
"Doom Bar","Sharp's Brewery","English Bitter",4,0,"Not the same in the bottle",,,,,,3.5,"2013-06-07 21:53:31",https://untappd.com/c/33005388,https://untappd.com/beer/7552,https://untappd.com/brewery/1994,England
Infinity,"Blue Monkey Brewery ","English Pale Ale",4.6,0,,,,,,,4,"2013-06-08 16:56:36",https://untappd.com/c/33122889,https://untappd.com/beer/88263,https://untappd.com/brewery/5703,England
"Sole Star",Adnams,"English Bitter",2.7,0,"For such a weak beer, this isn't half bad",,,,,,4,"2013-06-08 19:39:55",https://untappd.com/c/33141116,https://untappd.com/beer/107468,https://untappd.com/brewery/11,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-06-08 21:05:52",https://untappd.com/c/33156493,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Sainsbury's Taste The Difference American Pale Ale","Genesee Brewing Company","American Pale Ale",5.3,0,,,,,,,3.5,"2013-06-08 21:06:39",https://untappd.com/c/33156609,https://untappd.com/beer/264644,https://untappd.com/brewery/3066,"United States"
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-06-15 20:57:11",https://untappd.com/c/33883229,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Scarlet Macaw","Oakham Ales","English Pale Ale",4.4,0,Mmmmmmmmmmmmm,,,,,,4,"2013-06-15 21:35:38",https://untappd.com/c/33891034,https://untappd.com/beer/52694,https://untappd.com/brewery/931,England
"Calcutta 1757","Joule's Brewery","English IPA",5,0,"Wow. Textbook English IPA",,,,,,4,"2013-06-16 13:24:02",https://untappd.com/c/34023742,https://untappd.com/beer/386582,https://untappd.com/brewery/3558,England
"India Pale Ale","Meantime Brewing Company","English IPA",7.4,0,"Quaffable, but not amazing. But at £4 for almost 2 pints from Waitrose, I'm not complaining",,,,,,3.5,"2013-06-16 20:39:11",https://untappd.com/c/34053446,https://untappd.com/beer/424,https://untappd.com/brewery/844,England
"Bengal Lancer","Fuller, Smith & Turner ","English IPA",5,0,,,,,,,4,"2013-06-16 21:23:50",https://untappd.com/c/34060237,https://untappd.com/beer/13458,https://untappd.com/brewery/3296,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2013-06-19 21:46:13",https://untappd.com/c/34297605,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-06-22 21:04:53",https://untappd.com/c/34654633,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-06-22 22:30:15",https://untappd.com/c/34673575,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
1845,"Fuller, Smith & Turner ","English Strong Ale",6.3,0,"Like drinking a big Christmas cake. Lovely.",,,,,,4,"2013-06-23 19:56:19",https://untappd.com/c/34814923,https://untappd.com/beer/19611,https://untappd.com/brewery/3296,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2013-06-24 22:44:16",https://untappd.com/c/34917099,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"High Wire","Magic Rock Brewing","American Pale Ale",5.5,0,,"The Euston Tap",London,"Greater London",51.527,-0.13248,4,"2013-06-26 16:42:25",https://untappd.com/c/35049624,https://untappd.com/beer/61700,https://untappd.com/brewery/13156,England
"Shandy Bass","Bass Brewers",Non-Alcoholic,0.5,0,"Saw it in the chippy and I couldn't resist. Not as beery as I remember it tasting",,,,,,3.5,"2013-06-27 18:15:31",https://untappd.com/c/35138549,https://untappd.com/beer/154682,https://untappd.com/brewery/85,England
"OAKED Arrogant Bastard Ale","Stone Brewing Co.","American Strong Ale",7.2,0,Nom,,,,,,4,"2013-06-27 21:38:04",https://untappd.com/c/35149655,https://untappd.com/beer/4653,https://untappd.com/brewery/1204,"United States"
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"Malty, citrusy, moreish. Luckily, I've got two more.",,,,,,5,"2013-06-28 20:55:31",https://untappd.com/c/35253767,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,,,,,,,5,"2013-06-28 22:49:19",https://untappd.com/c/35268294,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Chinook IPA","The Backyard Brewhouse","American IPA",4.8,0,Quaffable,"The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,3.5,"2013-06-29 17:19:03",https://untappd.com/c/35383930,https://untappd.com/beer/361570,https://untappd.com/brewery/28686,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"It sings!","The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,5,"2013-06-29 17:43:54",https://untappd.com/c/35386011,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Marks & Spencer Greenwich Red Ale","Meantime Brewing Company","American Amber / Red Ale",4,0,,,,,,,3,"2013-06-29 20:17:53",https://untappd.com/c/35406885,https://untappd.com/beer/323800,https://untappd.com/brewery/844,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,"Definitely the same as the Citra Special I had earlier",,,,,,5,"2013-06-29 21:15:07",https://untappd.com/c/35417834,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Un-Human Cannonball","Magic Rock Brewing","Imperial / Double IPA",12,0,"Shove my mouth full of hops and smack me on the bottom.",,,,,,5,"2013-06-30 14:34:01",https://untappd.com/c/35552095,https://untappd.com/beer/346881,https://untappd.com/brewery/13156,England
"2013 Double IPA",Pezbraü,"American IPA",0,0,"Good, but I wish I'md listened to my heart and used American ale yeast, rather than the yeast the homebrew shop suggested",,,,,,3.5,"2013-06-30 21:08:01",https://untappd.com/c/35582683,https://untappd.com/beer/395963,https://untappd.com/brewery/50721,England
#MashTag,BrewDog,"American Brown Ale",7.5,95,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2013-07-02 18:17:28",https://untappd.com/c/35741791,https://untappd.com/beer/351868,https://untappd.com/brewery/241,Scotland
"Shandy Bass","Bass Brewers",Non-Alcoholic,0.5,0,,,,,,,3.5,"2013-07-04 19:45:10",https://untappd.com/c/35973680,https://untappd.com/beer/154682,https://untappd.com/brewery/85,England
"Caesar Augustus","Williams Brothers Brewing Co.","IPL (India Pale Lager)",4.1,0,,,,,,,4,"2013-07-04 21:11:22",https://untappd.com/c/35992793,https://untappd.com/beer/77447,https://untappd.com/brewery/1367,Scotland
"Marks & Spencer Southwold Blonde Beer",Adnams,"Blonde Ale",5,24,"Lovely drop. Adnams are fast becoming my new favourite brewery I never really tried before.",,,,,,4.5,"2013-07-04 21:51:29",https://untappd.com/c/36003308,https://untappd.com/beer/177802,https://untappd.com/brewery/11,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-07-05 16:14:15",https://untappd.com/c/36137918,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Pure UBU","Purity Brewing Co. (England)","English Bitter",4.5,0,,,,,,,4,"2013-07-05 16:58:47",https://untappd.com/c/36139924,https://untappd.com/beer/6447,https://untappd.com/brewery/1536,England
"Marks & Spencer Cascade Pale Ale","Castle Rock Brewery","English Pale Ale",5,0,"It's no Citra, but a pleasant summer drop",,,,,,3.5,"2013-07-07 18:00:08",https://untappd.com/c/36469337,https://untappd.com/beer/352661,https://untappd.com/brewery/1460,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2013-07-07 20:52:19",https://untappd.com/c/36487781,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Gentleman's Wit","Camden Town Brewery",Witbier,4.3,15,"Pleasant, but lacks the zesty bite of a good Schneiderweisse","The Euston Tap",London,"Greater London",51.527,-0.13248,3.5,"2013-07-10 17:28:03",https://untappd.com/c/36716203,https://untappd.com/beer/108629,https://untappd.com/brewery/10433,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-07-11 12:27:26",https://untappd.com/c/36796444,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"Reverend & The Makers Summer Ale","Thornbridge Brewery","Golden Ale",4.8,0,,,,,,,4,"2013-07-11 21:15:45",https://untappd.com/c/36813622,https://untappd.com/beer/366202,https://untappd.com/brewery/2047,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,,,,,,,5,"2013-07-11 21:50:31",https://untappd.com/c/36816139,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Barry Island IPA","Brains Craft Brewery","American IPA",6,0,,,,,,,3,"2013-07-12 20:00:50",https://untappd.com/c/36914639,https://untappd.com/beer/196441,https://untappd.com/brewery/45903,Wales
"Harvest Sun","Williams Brothers Brewing Co.","Golden Ale",3.9,0,,,,,,,3,"2013-07-12 21:13:06",https://untappd.com/c/36921824,https://untappd.com/beer/40579,https://untappd.com/brewery/1367,Scotland
"Wild Raven","Thornbridge Brewery","Black IPA / Cascadian Dark Ale",6.6,65,,,,,,,4,"2013-07-12 21:56:26",https://untappd.com/c/36926917,https://untappd.com/beer/24126,https://untappd.com/brewery/2047,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"Catching up on last night",,,,,,5,"2013-07-14 13:38:54",https://untappd.com/c/37227972,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
Jaipur,"Thornbridge Brewery","English IPA",5.9,55,"More from last night",,,,,,5,"2013-07-14 13:40:35",https://untappd.com/c/37227999,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England
"Ghost Ship",Adnams,"English Pale Ale",4.5,40,"Best Supermarket Beer.",,,,,,5,"2013-07-14 16:25:37",https://untappd.com/c/37233046,https://untappd.com/beer/9301,https://untappd.com/brewery/11,England
"Birds & Bees","Williams Brothers Brewing Co.","Golden Ale",4.3,0,"Nice summery drop. Late infusion of elderflowers too!",,,,,,3.5,"2013-07-14 17:10:39",https://untappd.com/c/37235228,https://untappd.com/beer/533999,https://untappd.com/brewery/1367,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"God. I love this beer.",,,,,,5,"2013-07-14 18:57:51",https://untappd.com/c/37243975,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Tesco Finest American Double IPA",BrewDog,"Imperial / Double IPA",9.2,0,,,,,,,5,"2013-07-18 20:43:55",https://untappd.com/c/37608122,https://untappd.com/beer/30912,https://untappd.com/brewery/241,Scotland
"Bengal Lancer","Fuller, Smith & Turner ","English IPA",5,0,,,,,,,4,"2013-07-19 21:15:53",https://untappd.com/c/37730736,https://untappd.com/beer/13458,https://untappd.com/brewery/3296,England
Wainwright,"Thwaites Brewery","Golden Ale",4.1,0,,,,,,,4,"2013-07-20 18:38:35",https://untappd.com/c/37887541,https://untappd.com/beer/9934,https://untappd.com/brewery/4609,England
"Oxford Gold","Brakspear Brewing Company","Golden Ale",4.6,0,,,,,,,3.5,"2013-07-20 19:32:18",https://untappd.com/c/37897094,https://untappd.com/beer/14933,https://untappd.com/brewery/1353,England
"Southwold Bitter",Adnams,"English Bitter",4.1,33,,,,,,,3.5,"2013-07-20 22:10:57",https://untappd.com/c/37934515,https://untappd.com/beer/89431,https://untappd.com/brewery/11,England
"Tribute Cornish Pale Ale","St Austell Brewery","English Pale Ale",4.2,0,,"The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,3,"2013-07-21 20:49:47",https://untappd.com/c/38106528,https://untappd.com/beer/5512,https://untappd.com/brewery/1186,England
Wainwright,"Thwaites Brewery","Golden Ale",4.1,0,"Nicer on tap","The Red Lion",Coleshill,Warwickshire,52.4955,-1.70522,4,"2013-07-21 20:54:42",https://untappd.com/c/38107357,https://untappd.com/beer/9934,https://untappd.com/brewery/4609,England
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2013-07-24 21:47:29",https://untappd.com/c/38390395,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"SA Gold",Brains,"Golden Ale",4.3,0,,,,,,,3.5,"2013-07-24 21:56:57",https://untappd.com/c/38391133,https://untappd.com/beer/21192,https://untappd.com/brewery/3779,Wales
"Marks & Spencer Citra IPA","Oakham Ales","English IPA",4.9,0,,,,,,,5,"2013-07-25 21:54:36",https://untappd.com/c/38493905,https://untappd.com/beer/342455,https://untappd.com/brewery/931,England
"Double Drop","Marston's Beer Co","Extra Special/Strong Bitter",4,0,,,,,,,4,"2013-07-25 22:22:36",https://untappd.com/c/38496798,https://untappd.com/beer/35505,https://untappd.com/brewery/1517,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2013-07-26 18:05:50",https://untappd.com/c/38601168,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2013-07-26 20:40:00",https://untappd.com/c/38614437,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Meine Sommer Weisse (Summer Tap X 2013)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.4,23,,,,,,,,"2013-07-27 18:16:50",https://untappd.com/c/38778562,https://untappd.com/beer/411054,https://untappd.com/brewery/1023,Germany
"India Pale Ale Citra","The Kernel Brewery","American IPA",6.6,0,"GOD I LOVE KERNEL",,,,,,5,"2013-07-27 18:35:47",https://untappd.com/c/38781441,https://untappd.com/beer/49489,https://untappd.com/brewery/3376,England
"Salty Kiss","Magic Rock Brewing",Gose,4.1,0,"Oooh, that's a sour beer","The Bond",Birmingham,"West Midlands",52.4783,-1.88179,4,"2013-07-27 18:56:17",https://untappd.com/c/38784975,https://untappd.com/beer/322150,https://untappd.com/brewery/13156,England
#MashTag,BrewDog,"American Brown Ale",7.5,95,,"The Bond",Birmingham,"West Midlands",52.4783,-1.88179,4,"2013-07-27 19:24:19",https://untappd.com/c/38789814,https://untappd.com/beer/351868,https://untappd.com/brewery/241,Scotland
Halcyon,"Thornbridge Brewery","Imperial / Double IPA",7.4,0,,"The Bond",Birmingham,"West Midlands",52.4783,-1.88179,5,"2013-07-27 19:45:58",https://untappd.com/c/38793855,https://untappd.com/beer/13845,https://untappd.com/brewery/2047,England
Korev,"St Austell Brewery","Pale Lager",4.8,0,,,,,,,3,"2013-07-27 20:05:02",https://untappd.com/c/38797545,https://untappd.com/beer/32862,https://untappd.com/brewery/1186,England
"Antipodean Rye","Harbour Brewing Co","Rye Beer",5.7,0,,,,,,,3,"2013-07-27 20:46:41",https://untappd.com/c/38807277,https://untappd.com/beer/404637,https://untappd.com/brewery/25103,England
"Antipodean Rye","Harbour Brewing Co","Rye Beer",5.7,0,,"The Bond",Birmingham,"West Midlands",52.4783,-1.88179,3,"2013-07-27 20:47:19",https://untappd.com/c/38807446,https://untappd.com/beer/404637,https://untappd.com/brewery/25103,England
Ringmaster,"Magic Rock Brewing","American Pale Ale",3.9,0,"Lovely session beer",,,,,,4.5,"2013-07-27 21:09:36",https://untappd.com/c/38812785,https://untappd.com/beer/499796,https://untappd.com/brewery/13156,England
"Mad Goose","Purity Brewing Co. (England)","English Pale Ale",4.2,0,,,,,,,3.5,"2013-07-28 20:36:08",https://untappd.com/c/39007102,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England
"JHB (Jeffrey Hudson Bitter)","Oakham Ales","Golden Ale",3.8,0,,,,,,,4,"2013-07-30 21:59:39",https://untappd.com/c/39204222,https://untappd.com/beer/53755,https://untappd.com/brewery/931,England
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,"Even better in a can",,,,,,4.5,"2013-07-31 17:39:47",https://untappd.com/c/39289114,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
Citra,"Oakham Ales","American Pale Ale",4.2,0,,,,,,,5,"2013-08-01 18:10:58",https://untappd.com/c/39399829,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,"Happy #ipaday!",,,,,,5,"2013-08-01 21:04:55",https://untappd.com/c/39414585,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
