Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"American Pale Ale","Dark Star Brewing Co.","American Pale Ale",4.7,0,,,,,,,4,"2013-01-27 15:47:39",https://untappd.com/c/21070577,https://untappd.com/beer/17801,https://untappd.com/brewery/1513,England
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4.5,"2013-01-27 16:18:53",https://untappd.com/c/21071276,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-01-27 16:28:58",https://untappd.com/c/21071545,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2013-01-27 16:41:53",https://untappd.com/c/21071909,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Hardcore IPA",BrewDog,"Imperial / Double IPA",9.2,150,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-01-27 16:50:28",https://untappd.com/c/21072201,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland
"Cocoa Psycho",BrewDog,"Russian Imperial Stout",10,85,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-01-27 17:06:45",https://untappd.com/c/21072723,https://untappd.com/beer/273455,https://untappd.com/brewery/241,Scotland
"Paradox Isle Of Arran (15%)",BrewDog,"American Imperial / Double Stout",15,70,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,5,"2013-01-27 17:24:49",https://untappd.com/c/21073460,https://untappd.com/beer/294678,https://untappd.com/brewery/241,Scotland
"Schneider Weisse Meine Blonde Weisse (TAP1)","Weisses Bräuhaus G. Schneider & Sohn",Hefeweizen,5.2,14,,"Brewdog Birmingham",Birmingham,"West Midlands",52.4771,-1.90151,4,"2013-01-27 18:23:06",https://untappd.com/c/21076023,https://untappd.com/beer/40151,https://untappd.com/brewery/1023,Germany
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2013-01-31 12:42:30",https://untappd.com/c/21277365,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
Duvel,"Duvel Moortgat","Belgian Strong Pale Ale",8.5,0,"Nom. Not had this for a bit. Forgot it was 8.5% though. Whoops!",,,,,,4,"2013-02-01 21:05:54",https://untappd.com/c/21350308,https://untappd.com/beer/6868,https://untappd.com/brewery/167,Belgium
"Original Oak Aged Beer","Innis & Gunn","Scottish Export Ale",6.6,18,,,,,,,3.5,"2013-02-01 21:40:55",https://untappd.com/c/21352566,https://untappd.com/beer/24675,https://untappd.com/brewery/1673,Scotland
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2013-02-02 20:12:53",https://untappd.com/c/21458786,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Golden Glory","Hall & Woodhouse (Badger Beers)","Specialty Grain",4.5,0,,,,,,,4,"2013-02-02 20:13:58",https://untappd.com/c/21458895,https://untappd.com/beer/16978,https://untappd.com/brewery/1752,England
"2012 Christmas Weissbier",Pezbraü,Witbier,0,0,,,,,,,5,"2013-02-02 20:14:44",https://untappd.com/c/21458987,https://untappd.com/beer/290566,https://untappd.com/brewery/50721,England
"Southville Hop","Bristol Beer Factory","American IPA",6.5,0,"Halfway between an IPA and an amber ale. Nice mix of hops too",,,,,,5,"2013-02-06 21:30:04",https://untappd.com/c/21792875,https://untappd.com/beer/35653,https://untappd.com/brewery/3503,England
"Gamma Ray",Beavertown,"American Pale Ale",5.4,45,"It's hoppy, yeah, but there's an almost creamy undertone to it which makes for a balanced drink",,,,,,4.5,"2013-02-07 21:35:20",https://untappd.com/c/21848030,https://untappd.com/beer/237500,https://untappd.com/brewery/24735,England
"IPA Citra Ahtanum Galaxy","The Kernel Brewery","American IPA",7.3,0,,,,,,,,"2013-02-07 21:56:38",https://untappd.com/c/21848934,https://untappd.com/beer/298815,https://untappd.com/brewery/3376,England
"Harvest Pale","Castle Rock Brewery","Blonde Ale",3.8,0,,"Horse & Jockey",Lichfield,Staffordshire,52.6825,-1.83076,4,"2013-02-08 12:50:07",https://untappd.com/c/21904296,https://untappd.com/beer/6215,https://untappd.com/brewery/1460,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Citra and Peppa Pig. It doesn't get much better than this",,,,,,5,"2013-02-09 18:22:51",https://untappd.com/c/22020830,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
